Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Nb de familles 2019;Part des familles avec 3 enf. ou plus de - de 25 ans 2019;Population municipale 2019
01332;Saint-André-de-Bâgé;251;8.1;779
01333;Saint-André-de-Corcy;1008;6.9;3369
01334;Saint-André-d'Huiriat;198;11.1;658
01335;Saint-André-le-Bouchoux;115;21.7;402
01336;Saint-André-sur-Vieux-Jonc;356;9.7;1174
01337;Saint-Bénigne;415;9.9;1311
01338;Groslée-Saint-Benoit;350;11.8;1227
01339;Saint-Bernard;446;6.7;1463
01342;Sainte-Croix;167;15.2;554
01343;Saint-Cyr-sur-Menthon;557;8.8;1793
01344;Saint-Denis-lès-Bourg;1815;8.8;5943
01345;Saint-Denis-en-Bugey;681;8.9;2266
01346;Saint-Didier-d'Aussiat;267;9.4;858
01347;Saint-Didier-de-Formans;643;9.9;2035
01348;Saint-Didier-sur-Chalaronne;851;10;2938
01349;Saint-Éloi;177;3;503
01350;Saint-Étienne-du-Bois;760;7.7;2542
01351;Saint-Étienne-sur-Chalaronne;460;14.1;1571
01352;Saint-Étienne-sur-Reyssouze;163;12.5;583
01353;Sainte-Euphémie;514;7.7;1700
01354;Saint-Genis-Pouilly;3770;9.9;13943
01355;Saint-Genis-sur-Menthon;140;7.1;486
01356;Saint-Georges-sur-Renon;60;8.3;208
01357;Saint-Germain-de-Joux;150;13.3;502
01358;Saint-Germain-les-Paroisses;139;10.1;429
01359;Saint-Germain-sur-Renon;79;6.7;246
01360;Saint-Jean-de-Gonville;536;8.1;1895
01361;Saint-Jean-de-Niost;495;5.1;1577
01362;Saint-Jean-de-Thurigneux;236;6.2;786
01363;Saint-Jean-le-Vieux;510;7.8;1772
01364;Saint-Jean-sur-Reyssouze;232;6.6;756
01365;Saint-Jean-sur-Veyle;363;12.8;1162
01366;Sainte-Julie;330;9.6;1082
01367;Saint-Julien-sur-Reyssouze;214;5;746
01368;Saint-Julien-sur-Veyle;241;6.4;838
01369;Saint-Just;291;8.3;942
01370;Saint-Laurent-sur-Saône;377;6.3;1688
01371;Saint-Marcel;371;6.9;1242
01372;Saint-Martin-de-Bavel;122;8.5;444
01373;Saint-Martin-du-Frêne;314;6.5;1023
01374;Saint-Martin-du-Mont;569;6.2;1871
01375;Saint-Martin-le-Châtel;245;10.2;782
01376;Saint-Maurice-de-Beynost;1075;13.6;3962
01378;Saint-Maurice-de-Gourdans;813;8.6;2645
01379;Saint-Maurice-de-Rémens;229;10.9;760
